imdbID,Title,Awards,Awards_won,Awards_Nominated,Oscar_Won,Prime_Won,Golden_Globe_Won,BAFTA_Won,Prime_Nominated,Oscar_Nominated,Golden_Globe_Nominated,BAFTA_Nominated
tt0910586,About Us,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
tt0956042,About Us,1 win.,1,0,0,0,0,0,0,0,0,0
tt1182335,Who Kidnapped Shergar,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt1734537,Agatha Christie's Marple,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
tt4354698,Missy Elliott: Pass That Dutch,1 win.,1,0,0,0,0,0,0,0,0,0
tt0121766,Star Wars: Episode III - Revenge of the Sith,Nominated for 1 Oscar. Another 25 wins & 51 nominations.,25,52,0,0,0,0,0,1,0,0
tt0216584,Bob the Butler,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0229881,Até Amanhã; Camaradas,8 wins & 20 nominations.,8,20,0,0,0,0,0,0,0,0
tt0257516,Cursed,2 nominations.,0,2,0,0,0,0,0,0,0,0
tt0340163,Hostage,4 nominations.,0,4,0,0,0,0,0,0,0,0
tt0365885,The Upside of Anger,5 wins & 12 nominations.,5,12,0,0,0,0,0,0,0,0
tt0368413,Echoes of Innocence,3 wins.,3,0,0,0,0,0,0,0,0,0
tt0380389,Goal! The Dream Begins,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
tt0388727,Accused,7 wins & 5 nominations.,7,5,0,0,0,0,0,0,0,0
tt0390614,Waqt: The Race Against Time,4 nominations.,0,4,0,0,0,0,0,0,0,0
tt0400525,The Ice Harvest,2 nominations.,0,2,0,0,0,0,0,0,0,0
tt0401855,Underworld: Evolution,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0,0
tt0403508,The Sisterhood of the Traveling Pants,1 win & 14 nominations.,1,14,0,0,0,0,0,0,0,0
tt0407304,War of the Worlds,Nominated for 3 Oscars. Another 13 wins & 40 nominations.,13,43,0,0,0,0,0,3,0,0
tt0420982,Blind Man's Bluff,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
tt0424699,A Place of Our Own: Los Niños en Su Casa,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0430357,Miami Vice,1 win & 9 nominations.,1,9,0,0,0,0,0,0,0,0
tt0430912,Basic Instinct 2,8 wins & 6 nominations.,8,6,0,0,0,0,0,0,0,0
tt0432236,Kidnapped,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0435625,The Descent,8 wins & 17 nominations.,8,17,0,0,0,0,0,0,0,0
tt0435937,Afterlife,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
tt0436569,Mardi Gras: Made in China,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0437696,30 Days,4 wins & 4 nominations.,4,4,0,0,0,0,0,0,0,0
tt0439774,The Real Dirt on Farmer John,5 wins.,5,0,0,0,0,0,0,0,0,0
tt0440981,Aída,27 wins & 31 nominations.,27,31,0,0,0,0,0,0,0,0
tt0441633,Man Exposed,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
tt0441793,Solo,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0441919,Encantadia,3 wins.,3,0,0,0,0,0,0,0,0,0
tt0448962,Help,4 wins.,4,0,0,0,0,0,0,0,0,0
tt0450077,Ot 180 i vyshe,4 nominations.,0,4,0,0,0,0,0,0,0,0
tt0450979,Babs Johnson and the Cavalcade of Perversion: An Exploration in Exploitation,5 wins.,5,0,0,0,0,0,0,0,0,0
tt0452594,The Break-Up,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
tt0453979,Before the Flood,3 wins.,3,0,0,0,0,0,0,0,0,0
tt0454082,Black Christmas,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0454883,Lost and Found,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0454921,The Pursuit of Happyness,Nominated for 1 Oscar. Another 11 wins & 24 nominations.,11,25,0,0,0,0,0,1,0,0
tt0455467,Exit,1 win.,1,0,0,0,0,0,0,0,0,0
tt0456207,Abuela de verano,3 nominations.,0,3,0,0,0,0,0,0,0,0
tt0463850,10.5: Apocalypse,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0463953,The Cutting Edge: Going for the Gold,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0464768,A Lua Me Disse,21 nominations.,0,21,0,0,0,0,0,0,0,0
tt0465315,8 Out of 10 Cats,4 nominations.,0,4,0,0,0,0,0,0,0,0
tt0465346,A Picture of Britain,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
tt0470642,The Book of Daniel,1 win.,1,0,0,0,0,0,0,0,0,0
tt0473488,A Guide to Recognizing Your Saints,7 wins & 9 nominations.,7,9,0,0,0,0,0,0,0,0
tt0475119,One of Those Days,1 win.,1,0,0,0,0,0,0,0,0,0
tt0476078,Alma Gêmea,3 wins & 32 nominations.,3,32,0,0,0,0,0,0,0,0
tt0476265,Internal Turmoil of the Plastic Kind,1 win.,1,0,0,0,0,0,0,0,0,0
tt0478409,War,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
tt0478834,Above and Beyond,4 wins & 6 nominations.,4,6,0,0,0,0,0,0,0,0
tt0479219,The 8th Plague,2 wins.,2,0,0,0,0,0,0,0,0,0
tt0482109,The Pretender,4 nominations.,0,4,0,0,0,0,0,0,0,0
tt0483716,Letting Go,1 win.,1,0,0,0,0,0,0,0,0,0
tt0484211,Life After Tomorrow,2 wins.,2,0,0,0,0,0,0,0,0,0
tt0484334,Alice; I Think,2 nominations.,0,2,0,0,0,0,0,0,0,0
tt0485241,Don't Worry; I'm Fine,7 wins & 7 nominations.,7,7,0,0,0,0,0,0,0,0
tt0486062,2005 World Figure Skating Championships,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
tt0486545,Allein gegen die Angst,2 nominations.,0,2,0,0,0,0,0,0,0,0
tt0486555,The Birthday Boy,1 win.,1,0,0,0,0,0,0,0,0,0
tt0487887,O Crime do Padre Amaro,2 nominations.,0,2,0,0,0,0,0,0,0,0
tt0491587,Trapped in the Closet: Chapters 1-12,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0491877,'Tis Autumn: The Search for Jackie Paris,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0496424,30 Rock,Won 6 Golden Globes. Another 80 wins & 310 nominations.,86,310,0,0,6,0,0,0,0,0
tt0499262,Takva: A Man's Fear of God,18 wins & 7 nominations.,18,7,0,0,0,0,0,0,0,0
tt0499603,10 Items or Less,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0758789,Tsunami: The Aftermath,Nominated for 3 Golden Globes. Another 3 wins & 23 nominations.,3,26,0,0,0,0,0,0,3,0
tt0759475,'Til Death,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0768805,Out of the Shadows,1 win.,1,0,0,0,0,0,0,0,0,0
tt0768837,Singapore Dreaming,3 wins.,3,0,0,0,0,0,0,0,0,0
tt0772137,The Game,5 wins & 25 nominations.,5,25,0,0,0,0,0,0,0,0
tt0795415,Lights Out,3 wins.,3,0,0,0,0,0,0,0,0,0
tt0799857,Alle lieben Jimmy,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0800968,20 to 1,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0807745,Blue Collar Comedy Tour: One for the Road,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0809622,11 Cameras,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0816201,I Want to Be a Pilot,11 wins.,11,0,0,0,0,0,0,0,0,0
tt0816401,The Replacements,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0819676,2006 FIFA World Cup,2 nominations.,0,2,0,0,0,0,0,0,0,0
tt0827740,The Somme: From Defeat to Victory,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0828594,t Schaep met de 5 pooten,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
tt0829416,Escape,2 wins.,2,0,0,0,0,0,0,0,0,0
tt0844974,Fresh Meat 21: Built Like a Brick...,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0845456,Feeding Frenzy 8,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt0856108,Ruido,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0871862,Freundschaft,3 nominations.,0,3,0,0,0,0,0,0,0,0
tt0872202,Ghosts,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
tt0877057,Death Note,2 wins.,2,0,0,0,0,0,0,0,0,0
tt0878143,Contact,6 wins & 1 nomination.,6,1,0,0,0,0,0,0,0,0
tt0881961,What Goes Around...,1 win.,1,0,0,0,0,0,0,0,0,0
tt0883995,13: Game of Death,5 wins & 9 nominations.,5,9,0,0,0,0,0,0,0,0
tt0884868,The Tokyo Trial,5 wins & 7 nominations.,5,7,0,0,0,0,0,0,0,0
tt0896576,A Touch Away,1 win.,1,0,0,0,0,0,0,0,0,0
tt0901702,Aifric,4 wins & 5 nominations.,4,5,0,0,0,0,0,0,0,0
tt0912606,Ali Rap,4 nominations.,0,4,0,0,0,0,0,0,0,0
tt0914865,Angie,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
tt0920486,Agathe kann's nicht lassen,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0950712,Quebec; Quebec,1 win.,1,0,0,0,0,0,0,0,0,0
tt0972554,Execution,1 win.,1,0,0,0,0,0,0,0,0,0
tt0994314,Code Geass: Lelouch of the Rebellion,4 wins.,4,0,0,0,0,0,0,0,0,0
tt1094677,Ask a Ninja,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt1259811,Blood Bank,1 win.,1,0,0,0,0,0,0,0,0,0
tt1307479,All Star Family Fortunes,1 nomination.,0,1,0,0,0,0,0,0,0,0
tt1641424,Al Límite,2 nominations.,0,2,0,0,0,0,0,0,0,0
tt3651388,101 East,36 wins & 20 nominations.,36,20,0,0,0,0,0,0,0,0
tt0379976,Savage Grace,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
tt0389722,30 Days of Night,12 nominations.,0,12,0,0,0,0,0,0,0,0
tt0407168,The Rules,1 win.,1,0,0,0,0,0,0,0,0,0
tt0425413,Run; Fatboy; Run,3 nominations.,0,3,0,0,0,0,0,0,0,0
tt0431842,Go with Peace Jamil,5 wins & 6 nominations.,5,6,0,0,0,0,0,0,0,0
tt0452608,Death Race,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
tt0452692,The Tender Hook,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
