WORD,RANK,FREQUENCY,LOG(RANK*FREQUENCY),LOG(TOTAL)
often,250,121,10.317251463458987,12.394351422798255
bath,251,121,10.321243484728525,12.394351422798255
coming,252,121,10.325219633108164,12.394351422798255
mary,253,121,10.329180034324262,12.394351422798255
want,254,120,10.324826009800583,12.394351422798255
subject,255,120,10.328755287940472,12.394351422798255
bates,256,120,10.332669187261608,12.394351422798255
visit,257,120,10.336567827677266,12.394351422798255
word,258,119,10.332083078033147,12.394351422798255
russell,259,118,10.327512686165203,12.394351422798255
manner,260,117,10.322855565813283,12.394351422798255
these,261,115,10.309452535685944,12.394351422798255
left,262,115,10.313276632124348,12.394351422798255
whole,263,115,10.317086160541015,12.394351422798255
side,264,114,10.31214755154081,12.394351422798255
short,265,113,10.307117644698563,12.394351422798255
years,266,113,10.31088412749404,12.394351422798255
part,267,112,10.305747529695344,12.394351422798255
others,268,111,10.30051718182319,12.394351422798255
hardly,269,111,10.304241580914173,12.394351422798255
musgrove,270,111,10.307952160310709,12.394351422798255
let,271,111,10.311649022192036,12.394351422798255
world,272,110,10.306282432088414,12.394351422798255
friends,273,110,10.309952160977376,12.394351422798255
since,274,109,10.304475988617215,12.394351422798255
perfectly,275,109,10.308118979895715,12.394351422798255
tell,276,109,10.311748747946293,12.394351422798255
given,277,109,10.315365388416483,12.394351422798255
happiness,278,108,10.309752340814857,12.394351422798255
wanted,279,107,10.304040616283272,12.394351422798255
whom,280,107,10.307618437631156,12.394351422798255
replied,281,106,10.301793763445813,12.394351422798255
obliged,282,105,10.295867421095638,12.394351422798255
spirits,283,105,10.299407247800762,12.394351422798255
suppose,284,105,10.30293458831873,12.394351422798255
under,285,105,10.306449530426175,12.394351422798255
told,286,105,10.309952160977376,12.394351422798255
known,287,105,10.313442565917144,12.394351422798255
next,288,104,10.30735137927732,12.394351422798255
else,289,104,10.310817587253805,12.394351422798255
three,290,103,10.304609911210155,12.394351422798255
heart,291,103,10.308052255401128,12.394351422798255
get,292,103,10.311482790497918,12.394351422798255
course,293,102,10.305145422301338,12.394351422798255
nor,294,102,10.308552580622953,12.394351422798255
hour,295,102,10.311948169624092,12.394351422798255
wife,296,102,10.315332267608332,12.394351422798255
far,297,100,10.298902324790792,12.394351422798255
leave,298,99,10.292213336639994,12.394351422798255
louisa,299,99,10.295563423525277,12.394351422798255
towards,300,98,10.288749953326773,12.394351422798255
general,301,98,10.292077743419448,12.394351422798255
talked,302,98,10.295394496045441,12.394351422798255
sister,303,98,10.29870028417994,12.394351422798255
either,304,98,10.301995180076794,12.394351422798255
able,305,97,10.295022755110795,12.394351422798255
find,306,97,10.298296080455764,12.394351422798255
